,semantic,correct_relationships,model,CF,dataset
0,1,0.8571428571428571,linear0,actionable_recourse,credit
1,1,0.8571428571428571,linear0,actionable_recourse,credit
2,1,0.8571428571428571,linear0,actionable_recourse,credit
3,0,0.8571428571428571,linear0,actionable_recourse,credit
4,1,0.8571428571428571,linear0,actionable_recourse,credit
5,0,0.8571428571428571,linear0,actionable_recourse,credit
6,1,0.8571428571428571,linear0,actionable_recourse,credit
7,0,0.8571428571428571,linear0,actionable_recourse,credit
8,1,0.8571428571428571,linear0,actionable_recourse,credit
9,0,0.8571428571428571,linear0,actionable_recourse,credit
10,0,0.8571428571428571,linear0,actionable_recourse,credit
11,1,0.8571428571428571,linear0,actionable_recourse,credit
12,0,0.8571428571428571,linear0,actionable_recourse,credit
13,0,0.8571428571428571,linear0,actionable_recourse,credit
14,1,0.8571428571428571,linear0,actionable_recourse,credit
15,0,0.8571428571428571,linear0,actionable_recourse,credit
16,1,0.8571428571428571,linear0,actionable_recourse,credit
17,0,0.8571428571428571,linear0,actionable_recourse,credit
18,0,0.8571428571428571,linear0,actionable_recourse,credit
19,0,0.8571428571428571,linear0,actionable_recourse,credit
20,0,0.8571428571428571,linear0,actionable_recourse,credit
21,0,0.8571428571428571,linear0,actionable_recourse,credit
22,1,0.8571428571428571,linear0,actionable_recourse,credit
23,1,0.8571428571428571,linear0,actionable_recourse,credit
24,0,0.8571428571428571,linear0,actionable_recourse,credit
25,1,0.8571428571428571,linear0,actionable_recourse,credit
26,0,0.8571428571428571,linear0,actionable_recourse,credit
27,1,0.8571428571428571,linear0,actionable_recourse,credit
28,1,0.8571428571428571,linear0,actionable_recourse,credit
29,1,0.8571428571428571,linear0,actionable_recourse,credit
30,1,0.8571428571428571,linear0,actionable_recourse,credit
31,0,0.8571428571428571,linear0,actionable_recourse,credit
32,0,0.8571428571428571,linear0,actionable_recourse,credit
33,0,0.8571428571428571,linear0,actionable_recourse,credit
34,0,0.8571428571428571,linear0,actionable_recourse,credit
35,0,0.8571428571428571,linear0,actionable_recourse,credit
